"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2025","271.86","273.06","273.68","271.75","27.29M","-0.45%"
"12/30/2025","273.08","272.81","274.08","272.28","22.14M","-0.25%"
"12/29/2025","273.76","272.69","274.36","272.35","23.72M","0.13%"
"12/26/2025","273.40","274.16","275.37","272.86","21.52M","-0.15%"
"12/24/2025","273.81","272.34","275.43","272.20","17.91M","0.53%"
"12/23/2025","272.36","270.84","272.50","269.56","29.64M","0.51%"
"12/22/2025","270.97","272.86","273.88","270.51","36.57M","-0.99%"
"12/19/2025","273.67","272.14","274.60","269.90","144.63M","0.54%"
"12/18/2025","272.19","273.61","273.63","266.95","51.63M","0.13%"
"12/17/2025","271.84","275.01","276.16","271.64","50.14M","-1.01%"
"12/16/2025","274.61","272.82","275.50","271.79","37.65M","0.18%"
"12/15/2025","274.11","280.15","280.15","272.84","50.41M","-1.50%"
"12/12/2025","278.28","277.90","279.22","276.82","39.53M","0.09%"
"12/11/2025","278.03","279.10","279.59","273.81","33.25M","-0.27%"
"12/10/2025","278.78","277.75","279.75","276.44","33.04M","0.58%"
"12/09/2025","277.18","278.16","280.03","276.92","32.19M","-0.26%"
"12/08/2025","277.89","278.13","279.67","276.15","38.21M","-0.32%"
"12/05/2025","278.78","280.54","281.14","278.05","47.27M","-0.68%"
"12/04/2025","280.70","284.10","284.73","278.59","43.99M","-1.21%"
"12/03/2025","284.15","286.20","288.62","283.30","43.54M","-0.71%"
"12/02/2025","286.19","283.00","287.40","282.63","53.67M","1.09%"
"12/01/2025","283.10","278.01","283.42","276.14","46.59M","1.52%"
"11/28/2025","278.85","277.26","279.00","275.99","20.14M","0.47%"
"11/26/2025","277.55","276.96","279.53","276.63","33.43M","0.21%"
"11/25/2025","276.97","275.27","280.38","275.25","46.91M","0.38%"
"11/24/2025","275.92","270.90","277.00","270.90","65.59M","1.63%"
"11/21/2025","271.49","265.95","273.33","265.67","59.03M","1.97%"
"11/20/2025","266.25","270.83","275.43","265.92","45.82M","-0.86%"
"11/19/2025","268.56","265.52","272.21","265.50","40.42M","0.42%"
"11/18/2025","267.44","269.99","270.71","265.32","45.68M","-0.01%"
"11/17/2025","267.46","268.82","270.49","265.73","45.02M","-1.82%"
"11/14/2025","272.41","271.05","275.96","269.60","47.43M","-0.20%"
"11/13/2025","272.95","274.11","276.70","272.09","49.60M","-0.19%"
"11/12/2025","273.47","275.00","275.73","271.70","48.40M","-0.65%"
"11/11/2025","275.25","269.81","275.91","269.80","46.21M","2.16%"
"11/10/2025","269.43","268.96","273.73","267.45","41.31M","0.36%"
"11/07/2025","268.47","269.80","272.29","266.77","48.23M","-0.48%"
"11/06/2025","269.77","267.89","273.40","267.89","51.20M","-0.14%"
