id,name,a,b,xmin_s,fmin_s,it_s,xmin_f,fmin_f,it_f
1,1) (x-2)^2 + 0.2*sin(5x),-3,5,2.14166283569493,-0.171736392116393,11,2.14166283160433,-0.171736392116393,12
2,2) exp(x) - 3x,-2,2,1.09861228871736,-0.295836866004329,7,1.09861228886744,-0.295836866004329,11
3,3) x^4 - 3x^3 + 2,-1,3,0,2,3,2.249999994626,-6.54296875,11
4,4) cos(x) + x^2,-3,3,0,1,3,1.14360004523146e-08,1,26
5,5) log((x+4)^2) + 0.1x,-3.9,3,-81873572463.4475,-8187357196.08786,14,-3.89999993371389,-4.99516885363777,37
6,6) (x+1)^2 + exp(-x),-4,4,-0.314923057862347,1.83948430098108,8,-0.314923050481255,1.83948430098108,11
7,7) (x-1)^2*(x+2)^2 + 0.5,-3,3,0.999999999999895,0.5,10,1.00000000357194,0.5,13
8,8) x*sin(x) + x^2/10,-6,6,0,0,3,4.72405726307637,-2.49206397682925,12
9,9) tanh(x) + x^2,-3,3,-0.420916469286083,-0.220531553010252,8,-0.420916471594323,-0.220531553010252,10
10,10) (x-5)^2 + sin(x),2,8,4.90452297328208,-0.97248311326547,7,4.90452297253832,-0.97248311326547,9
11,11) (x^2+1)sin(x) + 0.1x^2,-6,6,2.26643949098986,5.22449825373162,12,-2.1613911271058,-4.24373393336302,13
12,12) log(1+exp(x)) + (x-2)^2/10,-6,6,-0.222731248768442,1.08202335189035,7,-0.222731248921705,1.08202335189035,11
13,13) exp(-x^2) + 0.05x^2,-6,6,0,1,3,-1.73081839520467,0.1997866136777,14
14,14) x^6 - x^4 - x^2,-2,2,0,0,3,-1.00000000008448,-1,14
15,15) (x+0.5)^4 + cos(3x)/3,-3,3,-0.93520012364418,-0.278822500479442,9,-0.93520012348022,-0.278822500479442,13
