FIGI,Name,Ticker,Exchange Code,Security Type,Market Sector,FIGI Composite,Share Class,Security Description,Security Type 2,bloomberg_url,exists_on_bloomberg
BBG000BBM6M0,RANK PROGRESS SA,RNK,PW,Common Stock,Equity,BBG000BBM686,BBG001T95MP5,RNK,Common Stock,https://www.bloomberg.com/quote/RNK:PZ,True
BBG000BF9JB0,INC SA,INC,PW,Common Stock,Equity,BBG000BF9HY9,BBG001S8ZWW5,INC,Common Stock,https://www.bloomberg.com/quote/INC:PZ,True
BBG000BFD0L5,HARPER HYGIENICS SA,HRP,PW,Common Stock,Equity,BBG000BFD053,BBG001T9BVP8,HRP,Common Stock,https://www.bloomberg.com/quote/HRP:PZ,True
BBG000BGY0N8,FON SE,FON,PW,Common Stock,Equity,BBG000BGY067,BBG001S7YQ06,FON,Common Stock,https://www.bloomberg.com/quote/FON:PZ,True
BBG000BMDJP5,INVESTMENT FRIENDS SA,IFR,PW,Common Stock,Equity,BBG000BMDH33,BBG001SDKMN2,IFR,Common Stock,https://www.bloomberg.com/quote/IFR:PZ,True
BBG000BMGRF5,BANK OCHRONY SRODOWISKA SA,BOS,PW,Common Stock,Equity,BBG000BMGQV9,BBG001S9DKD4,BOS,Common Stock,https://www.bloomberg.com/quote/BOS:PZ,True
BBG000BMWXJ0,PKO BANK POLSKI SA,PKO,PW,Common Stock,Equity,BBG000BMWX91,BBG001S9F9B9,PKO,Common Stock,https://www.bloomberg.com/quote/PKO:PZ,True
BBG000BNDZR5,LPP SA,LPP,PW,Common Stock,Equity,BBG000BNDZK2,BBG001S9TZW3,LPP,Common Stock,https://www.bloomberg.com/quote/LPP:PZ,True
BBG000BNY918,SKYLINE INVESTMENT SA,SKL,PW,Common Stock,Equity,BBG000BNY8S1,BBG001SFJ7T6,SKL,Common Stock,https://www.bloomberg.com/quote/SKL:PZ,True
BBG000BP0PD1,PGE SA,PGE,PW,Common Stock,Equity,BBG000BP0NZ2,BBG001S96L04,PGE,Common Stock,https://www.bloomberg.com/quote/PGE:PZ,True
BBG000BPTH48,WASKO SA,WAS,PW,Common Stock,Equity,BBG000BPTGM0,BBG001SB8M14,WAS,Common Stock,https://www.bloomberg.com/quote/WAS:PZ,True
BBG000BR19C3,KPPD SA,KPD,PW,Common Stock,Equity,BBG000BR1880,BBG001SCF6P3,KPD,Common Stock,https://www.bloomberg.com/quote/KPD:PZ,True
BBG000BVJ0B5,PBG SA,PBG,PW,Common Stock,Equity,BBG000BVJ034,BBG001SCDNN0,PBG,Common Stock,https://www.bloomberg.com/quote/PBG:PZ,True
BBG000BXN1R7,AMREST HOLDINGS SE,EAT,PW,Common Stock,Equity,BBG000BXN1L3,BBG001SCYN75,EAT,Common Stock,https://www.bloomberg.com/quote/EAT:PZ,True
BBG000C1P2R2,SFINKS POLSKA SA,SFS,PW,Common Stock,Equity,BBG000C1P2B9,BBG001SKRL79,SFS,Common Stock,https://www.bloomberg.com/quote/SFS:PZ,True
BBG000C2J2P9,ALTA SA,AAT,PW,Common Stock,Equity,BBG000C2J233,BBG001SBTSR0,AAT,Common Stock,https://www.bloomberg.com/quote/AAT:PZ,True
BBG000C2VF94,OPONEO.PL SA,OPN,PW,Common Stock,Equity,BBG000C2VCD6,BBG001SL1GJ3,OPN,Common Stock,https://www.bloomberg.com/quote/OPN:PZ,True
BBG000C3DVM2,PRAGMA INKASO SA,PRI,PW,Common Stock,Equity,BBG000C3DVF0,BBG001SL6KT8,PRI,Common Stock,https://www.bloomberg.com/quote/PRI:PZ,True
BBG000C3PQ95,KOGENERACJA,KGN,PW,Common Stock,Equity,BBG000C3PPL3,BBG001SFY078,KGN,Common Stock,https://www.bloomberg.com/quote/KGN:PZ,True
BBG000C3TSN1,MAGNA POLONIA SA,06N,PW,Common Stock,Equity,BBG000C3TS51,BBG001SFYCC6,06N,Common Stock,https://www.bloomberg.com/quote/06N:PZ,True
BBG000C462J6,FABRYKA SPRZETU I NARZEDZI,FSG,PW,Common Stock,Equity,BBG000C46260,BBG001SFZ7Y2,FSG,Common Stock,https://www.bloomberg.com/quote/FSG:PZ,True
BBG000C4B4D2,MANYDEV STUDIO SE,MAN,PW,Common Stock,Equity,BBG000C4B3R9,BBG001SV9S70,MAN,Common Stock,https://www.bloomberg.com/quote/MAN:PZ,True
BBG000C4CGV4,INTERSPORT POLSKA SA,IPO,PW,Common Stock,Equity,BBG000C4CGD4,BBG001SLCVD4,IPO,Common Stock,https://www.bloomberg.com/quote/IPO:PZ,True
BBG000CHZ7N9,BANK HANDLOWY W WARSZAWIE SA,BHW,PW,Common Stock,Equity,BBG000CHZ731,BBG001SFXW51,BHW,Common Stock,https://www.bloomberg.com/quote/BHW:PZ,True
BBG000CHZBK3,LUBAWA SA,LBW,PW,Common Stock,Equity,BBG000CHZ9M6,BBG001SFXW60,LBW,Common Stock,https://www.bloomberg.com/quote/LBW:PZ,True
BBG000CHZDF5,PRZEDSIEBIORSTWO PRODUKCYJNO,KMP,PW,Common Stock,Equity,BBG000CHZD47,BBG001SFXW79,KMP,Common Stock,https://www.bloomberg.com/quote/KMP:PZ,True
BBG000CHZJT7,SANOK RUBBER COMPANY SA,SNK,PW,Common Stock,Equity,BBG000CHZJ80,BBG001SFXWB4,SNK,Common Stock,https://www.bloomberg.com/quote/SNK:PZ,True
BBG000CJ1Z78,COGNOR SA,COG,PW,Common Stock,Equity,BBG000CJ1Z23,BBG001SFXWM2,COG,Common Stock,https://www.bloomberg.com/quote/COG:PZ,True
